"year";"city";"overall";"rankings";"student_mix";"desirability";"emp_activity";"affordability";"student_view";"unis_Ranked";"highestUniv";"population";"avgIntFees";"country";"continent"
"2014";"London";502;41;95;81;98;100;87;"17";"UCL (University College London) ";"13880000";"21200";"United Kingdom";"Europe"
"2014";"Paris";501;57;95;84;86;95;84;"18";"ENS Paris ";"12405000";"3400";"France";"Europe"
"2014";"Melbourne";498;40;90;85;100;89;94;"7";"University of Melbourne ";"4530000";"23300";"Australia";"Oceania"
"2015";"Paris";496;54;96;83;83;96;84;"18";"ENS Paris ";"12405000";"3400";"France";"Europe"
"2016";"Melbourne";493;49;91;92;100;67;94;"7";"University of Melbourne ";"4530000";"23300";"Australia";"Oceania"
"2015";"Melbourne";491;40;94;94;100;69;94;"7";"University of Melbourne ";"4530000";"23300";"Australia";"Oceania"
"2014";"Montreal";490;65;71;79;91;85;99;"3";"McGill University ";"4127000";"13200";"Canada";"North America"
"2016";"Paris";490;62;87;81;80;96;84;"18";"ENS Paris ";"12405000";"3400";"France";"Europe"
"2014";"Singapore";489;60;100;89;83;79;78;"3";"Nanyang Technological University (NTU) ";"5610000";"14400";"Hong Kong";"Asia"
"2014";"Boston";487;52;90;71;84;98;92;"8";"Massachusetts Institute of Technology (MIT) ";"4629000";"46600";"United States";"North America"
"2014";"Sydney";485;38;90;99;94;86;78;"5";"The University of New South Wales (UNSW) ";"4921000";"26400";"Australia";"Oceania"
"2018";"London";482;25;93;80;92;100;92;"17";"UCL (University College London) ";"13880000";"21200";"United Kingdom";"Europe"
"2014";"Hong Kong";480;69;96;59;85;94;77;"7";"University of Hong Kong (HKU) ";"7235000";"16500";"Hong Kong";"Asia"
"2016";"Tokyo";480;63;100;98;51;81;87;"14";"University of Tokyo ";"37800000";"6700";"Japan";"Asia"
"2015";"London";479;28;100;71;93;100;87;"17";"UCL (University College London) ";"13880000";"21200";"United Kingdom";"Europe"
"2015";"Montreal";479;60;78;83;96;63;99;"3";"McGill University ";"4127000";"13200";"Canada";"North America"
"2016";"Montreal";479;57;75;92;95;61;99;"3";"McGill University ";"4127000";"13200";"Canada";"North America"
"2017";"Montreal";479;56;80;94;93;59;97;"3";"McGill University ";"4127000";"13200";"Canada";"North America"
"2018";"Tokyo";479;54;100;97;55;84;89;"14";"University of Tokyo ";"37800000";"6700";"Japan";"Asia"
"2014";"Munich";478;78;72;97;72;70;89;"2";"Technische Universität München (64th  in the world)";"2600000";"100";"Germany";"Europe"
"2015";"Boston";478;49;100;73;87;77;92;"8";"Massachusetts Institute of Technology (MIT) ";"4629000";"46600";"United States";"North America"
"2018";"Melbourne";476;33;86;91;100;68;98;"7";"University of Melbourne ";"4530000";"23300";"Australia";"Oceania"
"2014";"Berlin";474;83;75;83;72;69;92;"3";"Humboldt-Universität zu Berlin ";"6005000";"200";"Germany";"Europe"
"2016";"London";473;16;96;83;91;100;87;"17";"UCL (University College London) ";"13880000";"21200";"United Kingdom";"Europe"
"2015";"Tokyo";472;62;94;95;55;79;87;"14";"University of Tokyo ";"37800000";"6700";"Japan";"Asia"
"2014";"Zurich";471;62;84;99;81;78;67;"2";"ETH Zurich ";"1900000";"1900";"Switzerland";"Europe"
"2016";"Sydney";467;44;87;100;95;63;78;"5";"The University of New South Wales (UNSW) ";"4921000";"26400";"Australia";"Oceania"
"2017";"Paris";467;38;88;81;79;98;83;"18";"ENS Paris ";"12405000";"3400";"France";"Europe"
"2018";"Montreal";467;47;80;89;94;57;100;"3";"McGill University ";"4127000";"13200";"Canada";"North America"
"2015";"Sydney";466;36;94;98;95;65;78;"5";"The University of New South Wales (UNSW) ";"4921000";"26400";"Australia";"Oceania"
"2015";"Hong Kong";464;63;82;88;80;74;77;"7";"University of Hong Kong (HKU) ";"7235000";"16500";"Hong Kong";"Asia"
"2017";"London";464;18;94;81;90;100;81;"17";"UCL (University College London) ";"13880000";"21200";"United Kingdom";"Europe"
"2016";"Berlin";463;82;73;92;75;49;92;"3";"Humboldt-Universität zu Berlin ";"6005000";"200";"Germany";"Europe"
"2018";"Paris";463;38;88;80;80;93;84;"18";"ENS Paris ";"12405000";"3400";"France";"Europe"
"2015";"Seoul";462;54;94;66;71;87;90;"18";"Seoul National University (SNU) ";"25000000";"6500";"South Korea";"Asia"
"2018";"Munich";461;67;78;89;74;54;99;"2";"Technische Universität München (64th  in the world)";"2600000";"100";"Germany";"Europe"
"2016";"Singapore";460;56;88;92;82;64;78;"3";"Nanyang Technological University (NTU) ";"5610000";"14400";"Hong Kong";"Asia"
"2017";"Melbourne";460;18;86;97;100;70;89;"7";"University of Melbourne ";"4530000";"23300";"Australia";"Oceania"
"2014";"Seoul";459;62;87;55;72;93;90;"18";"Seoul National University (SNU) ";"25000000";"6500";"South Korea";"Asia"
"2016";"Seoul";459;56;92;68;65;88;90;"18";"Seoul National University (SNU) ";"25000000";"6500";"South Korea";"Asia"
